EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5231098,MONTGOMERY CO.,MONTGOMERY,01/19/2001,922,Tornado, ,F0,0,4,450000,0,AL,CST, ,1110696,C,101,BMX,0,0,NWS STORM SURVEY, ,2.3,100,2,E,2,E,MONTGOMERY,01/19/2001,925,32.38333,-86.26667,32.4,-86.23333,"A tornado from a bow echo configuration first touched down just west of Greenwood Cemetery on Three Mile Branch in eastern Montgomery (city). The tornado was moving northeastward at approximately 50 mph and moved through the Forest Hills area downing trees and causing minor structural damage to some homes. The tornado crossed the Atlanta Highway and continued to down trees in the Johnstown area of eastern Montgomery. Much of the damage here occurred when trees fell onto structures. The tornado appeared to end on the south edge of Gunter Industrial Park.   Several minor injuries were reported.","",1
5234092,MADISON CO.,HUNTSVILLE,02/16/2001,1339,Tornado, ,F0,0,0,40000,0,AL,CST, ,1111554,C,89,BMX,0,0,EMERGENCY MANAGER, ,4.4,30,10,WNW,10,WNW,HUNTSVILLE,02/16/2001,1345,34.78333,-86.76667,34.8,-86.68333,"A small tornado described by eye witnesses as a smooth funnel touched down in northwest Huntsville.  The damage began near the intersection of Capshaw Road and Wall Triana Highway.  The tornado damage path extended nearly due east for some distance before turning east-northeast and ending just west of Rideout Road.  A damage survey was conducted of this event by meteorologists from UAH who described the damage path as narrow, focused, and convergent.  Additional damage occurred in northeast Huntsville in the Chase area and may possibly have been another weak tornado touchdown.  Beginning: 34 46.378/86 45.006  Ending: 34 46.769/86 40.393","",2
5236850,MONTGOMERY CO.,MONTGOMERY,03/02/2001,1829,Tornado, ,F1,0,0,125000,0,AL,CST, ,1111902,C,101,BMX,0,0,NWS STORM SURVEY, ,2.2,100, , , , ,MONTGOMERY,03/02/2001,1833,32.38333,-86.3,32.38333,-86.3,"The tornado began in the Woodmere area where a number of houses sustained roof damage primarily in the form of lost shingles, fences were downed, and small trees were uprooted. The tornado moved northeast and tracked through the Beauvoir Lake subdivision where one house under construction was flattened and another house was partially deroofed with serious damage to the upper level. 

From Beauvoir Lake subdivision the tornado downed trees and removed shingles from house roofs in the Halcyon area. The tornado crossed Interstate 85 just west of the Taylor Road exit snapping off numerous pine trees in the interstate median. The tornado apparently ended at Taylor Road on the north side of the interstate. 

The tornado was rated at F1 based on structural damage in the Beauvoir Lake area. Much of the damage along the track was in the F0 category.  The tornado track was 2.2 miles in length and estimated to be about 100 yards wide at it's widest point. The tornado began at 6:29 PM and ended at 6:33 PM. No injuries or deaths were reported with this storm.","",3
5235588,COVINGTON CO.,RED LEVEL,03/12/2001,1300,Tornado, ,F1,2,1,1000000,0,AL,CST, ,1112100,C,39,MOB,0,0,NWS STORM SURVEY, ,3.2,75, , , , ,RED LEVEL,03/12/2001,1305,31.4,-86.61667,31.4,-86.61667,"A tornado touched down along the leading edge of a bow echo in the Pigeon Creek area just north of Red Level.  The tornado destroyed a manufactured home with three people inside.  Two of the occupants were killed and one was injured.  The tornado appeared to have first touched down where the home was located.  The youngest victim was home sick from school and her grandmother was watching her.  The girls father was working in a room that was attached to the home.  When the winds hit, the home was pulled out of the ground and rolled across a road and was completely demolished.  The room where the girls father was working was left standing.  Another "Double Wide" manufactured home, just west of the one that was destroyed, was picked up in the air,  blown across or through a clump of trees, and set down about 50 yards south of where it was tied down, in another clump of trees.  When viewing the home from a distance it appeared to have been purposely placed in the trees, with little outside damage visible.  However, when viewed form the inside, it looked as if an earthquake had hit it, with almost everything inside damaged.  Both of these manufactured homes were fairly new.  Both of the homes had the front tie downs pulled out of the ground and the anchors on the back of the homes snapped. The winds were estimated to be greater than 100 mph with the combination of the tornado and the intense downdraft from the "Bow Echo".  The tornado appeared to remain along the leading edge of the "Bow Echo" for a little over three miles.  Other homes suffered roof damage and numerous trees were blown down along the path of the tornado.  The tornado dissipated just before entering Butler county just west of Boykin.   All totaled throughout the county, twelve homes were destroyed, nineteen had major damage and five had minor damage.  Eleven vehicles were also destroyed.","",4
5245833,JACKSON CO.,ASPEL,05/24/2001,1648,Tornado, ,F1,0,0,22000,0,AL,CST, ,1114466,C,71,BMX,0,0,NWS STORM SURVEY, ,.5,80,1,NW,1,NW,ASPEL,05/24/2001,1650,34.61667,-86.16667,34.61667,-86.16667,"A tornado caused damage about 1 mile north of the town of Aspel, near the intersection of County Roads 11 and 101.  The tornado path was approximately ½ mile long, 100 yards wide, beginning on the west side of County Road 11.   The path began behind a home located on CR11.  No damage was noted to the home, but several trees within 50 yards of the home were snapped off or blown down.  Across CR11, two homes were struck and both received minor damage.  One of the residents  was asleep when the tornado struck.   He said the storm was loud, rousing him from his sleep, and it was over by the time he realized what was happening.   A window on the right front of his home was sucked out, a large Cedar tree just to the left of the home was broken off just above the ground and found by a back fence, approximately 300 yards northeast.  Several large trees were knocked over in the backyard, and a fallen tree killed two cows.  A large barn was heavily damaged, and another smaller barn had its tin roofing pulled off.   The second home sustained some roof damage due to a fallen tree along with a few shingles being torn off.  Several trees were also knocked down in the front yard.","",5
5245834,BLOUNT CO.,ONEONTA,05/24/2001,1802,Tornado, ,F0,0,0,0,0,AL,CST, ,1114468,C,9,BMX,0,0,NWS STORM SURVEY, ,1,30,6,NW,6,NW,ONEONTA,05/24/2001,1804,34.01667,-86.55,34.01667,-86.55,"A small tornado was observed and photographed north of Rosa in Blount County.  The short lived tornado occurred in a rural area and no damage was reported with it.","",6
5251387,MOBILE CO.,(MOB)MOBILE BATES FL,06/11/2001,640,Tornado, ,F0,0,0,20000,0,AL,CST, ,1116415,C,97,MOB,0,0,NWS STORM SURVEY, ,2.5,75, , , , ,(MOB)MOBILE BATES FL,06/11/2001,650,30.68333,-88.23333,30.68333,-88.23333,"An F0 tornado first touched down in southwest Mobile county about 8 miles southwest of the Mobile Regional Airport.  The initial touchdown was near Jeff Hamilton Road, just to the east of Newman Road.  The weak tornado moved across open fields and forest, moving across Newman Road near the Branson subdivision.  The tornado then moved through the subdivision, blowing down several trees.  Some homes were damaged as a result of the fallen trees, while other homes suffered roof damage due to the high winds.  The tornado then moved north and crossed Airport Boulevard just west of Newman Road.  More trees were blown down here, and several more homes suffered damage, mainly to roofs, from either fallen trees or high winds.   The tornado then lifted back into the cloud, about 5 miles southwest of the Mobile Airport.   The line of thunderstorms that produced the tornado was associated with the remnants of Tropical Storm Allison, which were moving east across the region.","",7
5251388,COVINGTON CO.,LIBERTYVILLE,06/11/2001,1705,Tornado, ,F0,0,0,15000,0,AL,CST, ,1116416,C,39,MOB,0,0,NWS STORM SURVEY, ,3.5,50, , , , ,LIBERTYVILLE,06/11/2001,1720,31.23333,-86.45,31.23333,-86.45,"An F0 tornado first touched down on State Road 55 several miles south of Libertyville, near the Stanley community.  Six homes, and a church sustained some minor roof damage, and two outbuildings were also damaged.   The tornado tracked northeast, crossing County Roads 32 and 34, and passing just  east of the New Shady Grove Church.  Trees were blown down at these locations.  The tornado then lifted back into the cloud just north of County Road 34.","",8
5262763,TALLADEGA CO.,LINCOLN,08/31/2001,1702,Tornado, ,F1,0,0,75000,0,AL,CST, ,1121356,C,121,BMX,0,0,NWS STORM SURVEY, ,3.5,30,3,WSW,3,WSW,LINCOLN,08/31/2001,1707,33.6,-86.16667,33.63333,-86.13333,"A small tornado touched down in a wooded area just southwest of exit 165 on Interestate 20.  The tornado moved northeast moving across three structures on the south side of the Interstate, two of the structures suffered extensive damage.  The tornado moved across CR 207 where several trees were downed and a small portion of the roof of an unoccupied building was damaged.  It crossed two mobile home parks, downing trees, ripping pieces of siding from several mobile homes, and pushing one off it's foundation.  It crossed US 78 where another mobile home had some siding ripped away from it.  It moved through an open area that was inaccessible and then damaged several trees on the north side of the town of Lincoln.  No additional damage was found beyond that point.  The weak tornado came out of a bowing echo that also caused some damage mainly to trees in Calhoun County.  Beginning: 33 35.333N 86 10.056W  Ending:  33 37.564N 86 07.641W","",9
5269823,BALDWIN CO.,FAIRHOPE,10/13/2001,630,Tornado, ,F1,0,0,50000,0,AL,CST, ,1123866,C,3,MOB,0,0,NWS STORM SURVEY, ,.1,30, , , , ,FAIRHOPE,10/13/2001,631,30.51667,-87.9,30.51667,-87.9,"An F1 tornado touched down for a short time near Fairhope.  The tornado caused major damage to a warehouse roof and two large metal doors were blown in.  Several trees and a fence were also blown down.","",10
