EVENT_ID,BEGIN_DATE,END_DATE,CZ_NAME_STR,EVENT_TYPE,TOR_LENGTH,TOR_WIDTH,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
103796,05/08/2008,05/08/2008,LAUDERDALE CO.,Tornado,7.99,200,EF1,0,2,300000,0,34.84,-87.87,34.9047,-87.7531
103532,05/08/2008,05/08/2008,COLBERT CO.,Tornado,3.49,250,EF2,0,0,300000,0,34.7377,-87.4677,34.7698,-87.4202
103836,05/08/2008,05/08/2008,LAWRENCE CO.,Tornado,3.8,250,EF2,0,0,250000,0,34.7698,-87.4202,34.8046,-87.366
103837,05/08/2008,05/08/2008,LAUDERDALE CO.,Tornado,5.33,250,EF1,0,0,5000,0,34.8046,-87.366,34.85,-87.29
98699,05/08/2008,05/08/2008,FAYETTE CO.,Tornado,5.68,100,EF1,0,0,25000,0,33.865,-87.733,33.8848,-87.6369
98701,05/08/2008,05/08/2008,WALKER CO.,Tornado,5.36,50,EF1,0,0,20000,0,33.8848,-87.6391,33.902,-87.548
98703,05/08/2008,05/08/2008,WALKER CO.,Tornado,2.57,600,EF1,0,0,100000,0,33.9718,-87.1825,33.976,-87.138
103576,05/08/2008,05/08/2008,CULLMAN CO.,Tornado,0.7,100,EF1,0,0,20000,0,33.9732,-87.1389,33.9755,-87.1269
103574,05/08/2008,05/08/2008,MORGAN CO.,Tornado,0.86,50,EF0,0,0,10000,0,34.478,-87.0022,34.4876,-86.9928
103579,05/08/2008,05/08/2008,CULLMAN CO.,Tornado,3.27,100,EF1,0,0,20000,0,34.0785,-86.9988,34.0978,-86.9467
103535,05/08/2008,05/08/2008,LIMESTONE CO.,Tornado,2.03,100,EF0,0,0,10000,0,34.5707,-86.8201,34.5852,-86.7891
103539,05/08/2008,05/08/2008,MADISON CO.,Tornado,1.98,250,EF1,0,0,10000,0,34.5852,-86.7891,34.589,-86.7547
103585,05/08/2008,05/08/2008,CULLMAN CO.,Tornado,6.58,100,EF1,0,0,50000,0,34.1823,-86.8014,34.243,-86.7127
92866,05/10/2008,05/10/2008,LAUDERDALE CO.,Tornado,1.6,250,EF1,0,0,100000,0,34.884,-87.9492,34.8903,-87.922
98750,05/10/2008,05/10/2008,MARION CO.,Tornado,25.46,400,EF1,0,0,100000,0,34.2396,-88.1647,34.1963,-87.7222
103878,05/10/2008,05/10/2008,LAUDERDALE CO.,Tornado,1,250,EF1,0,0,5000,0,34.9684,-87.2645,34.9671,-87.2469
98758,05/10/2008,05/10/2008,WALKER CO.,Tornado,9.29,400,EF1,0,0,20000,0,33.9433,-87.2472,33.9023,-87.0928
98760,05/10/2008,05/10/2008,WALKER CO.,Tornado,2.53,75,EF0,0,0,5000,0,33.875,-87.0631,33.8893,-87.0225
103887,05/10/2008,05/10/2008,CULLMAN CO.,Tornado,10.98,330,EF2,0,0,150000,0,33.8909,-87.0234,33.9516,-86.8464
98754,05/11/2008,05/11/2008,CLEBURNE CO.,Tornado,3.78,1000,EF1,0,0,1750000,0,33.644,-85.638,33.636,-85.573
98755,05/11/2008,05/11/2008,CLEBURNE CO.,Tornado,2.29,150,EF1,0,0,50000,0,33.6459,-85.5045,33.6441,-85.4648
102046,05/15/2008,05/15/2008,CONECUH CO.,Tornado,7.17,100,EF0,0,0,25000,0,31.3255,-86.7654,31.392,-86.672
