YEAR,tornado_count,avg_magnitude,total_deaths,total_damage
2001,62,NA,4,13841000
2002,44,NA,13,17343000
2003,45,NA,0,3062000
2004,65,NA,1,5353000
2005,86,NA,0,4741000
2006,74,NA,1,8975500
2007,51,NA,10,269705500
2008,126,NA,6,28811500
2009,91,NA,1,9744500
2010,46,NA,0,25369000
2011,217,NA,245,4362373700
2012,67,NA,3,1589000
2013,38,NA,0,3270000
2014,67,NA,2,990000
2015,35,NA,0,1325000
2016,76,NA,4,1848000
2017,68,NA,0,2242000
2018,56,NA,0,376000
2019,94,NA,25,270000
2020,82,NA,5,555000
2021,100,NA,7,3659000
2022,124,NA,3,259000
2023,94,NA,9,14980000
2024,80,NA,1,15186300
2025,92,NA,3,8993000
